Item;DurchschnittAK;DurchschnittVK
100;1;0.7
114;1.1875;0.8
116;160.5;134
123;7.25;6
128;0.484375;0.4
134;0.15625;0.0895835
135;0.15625;0.0625
136;0.15625;0.0895835
151;18;15
160;0.25;0.1875
160:1;0.25;0.1875
160:10;0.25;0.1875
160:11;0.25;0.1875
160:12;0.25;0.1875
160:13;0.25;0.1875
160:14;0.25;0.1875
160:15;0.6875;0.4375
160:2;0.25;0.1875
160:3;0.25;0.1875
160:4;0.25;0.1875
160:5;0.25;0.1875
160:6;0.25;0.1875
160:7;0.3125;0.1875
160:8;0.25;0.1875
160:9;0.25;0.1875
164;0.203125;0.0625
180;2.8125;2.34375
183;1;0.5
184;1;0.5
185;1;0.5
186;1;0.5
187;1;0.5
256:44-ab;140;50
257-9jcom;150;0
259;4.8;4
276-4nvg72na;2000;1650
276-4nvg73mi;2900;2450
276-4ot9sm6i;3700;3100
276-4pr3i8qv;3999;0
276-4rk7ca;1050;850
276-4rk7ck;1250;975
276-4rk7cl;2200;1800
276-4rkqta;2100;1700
276-4sinua;1900;1600
276-4sinul;2450;2500
276-4sjbf0;2100;1700
276-4sjcei;3800;3200
276-4thid7;3799;0
276-4vbo;500;362.5
276-4vc2;1200;950
276-4vcc;1400;1100
276-4vcd;2300;1900
276-50b0;1150;900
276-50ba;1900;1525
276-50bl;2500;2000
276-527ake7a;1800;1500
276-527akf6i;2700;2250
276-52bqjvka;1450;1200
276-52bqjvkl;3000;2500
276-52bqkk4i;4000;3300
276-53;575;400
276-5354a1mi;3200;2700
276-539ka6ki;4300;3600
276-54;1199;950
276-55;1775;1300
276-563tia;1000;725
276-563tik;1100;850
276-563til;2000;1600
276-564h39;1200;800
276-564h3a;1900;1600
276-564i2i;2800;2350
276-568h0o;1300;1050
276-568h12;1400;1150
276-568h1c;1600;1300
276-568h1d;3100;2600
276-572e4a;1550;1250
276-572e4l;2500;2025
276-5732ki;3300;2800
276-5732ov;3800;3200
276-5771io;1050;800
276-5771j2;2100;1700
276-5771jd;0;2600
276-5a3g;370;175
276-5a3q;950;725
276-5a44;1200;950
276-5a45;2100;1700
276-5a87;700;700
276-5b2o;850;650
276-5b32;1500;1250
276-5b3d;2600;2125
276-5b7f;1000;750
276-5e;350;162.5
276-5f;800;500
276-5flmna;1750;1400
276-5flnmi;2650;2200
276-5ivh4mna;1650;1350
276-5ivh4nmi;2550;2100
276-5ivi388i;2700;2225
276-5jsa;800;575
276-5jsk;1000;725
276-5jsl;1350;1050
276-5kri;1000;750
276-5krt;2100;1700
276-5n8vsa;900;700
276-5n8vsk;1300;1000
276-5n8vsl;1850;1550
276-5n90ri;1050;800
276-5n9s6i;2800;2350
276-5o;250;50
276-5p;300;200
276-5rlo;150;75
276-5rlp;300;175
276-5rma;950;750
276-5rmk;1200;950
276-5rml;1550;1150
276-60;225;135
276-6a;850;625
276-6bad7j;3000;2500
276-6g6i;2900;2425
276-6k;1300;1150
276-6l;1600;1200
276-9o3bk2nuna;1700;1300
276-9o3bk2nvmi;4100;3400
276-9o3lrt5a7a;2400;2000
276-9o3lrt5b6i;3900;3300
276-9vj1tgsa;1425;1200
276-9vj1tgsk;1700;1400
276-9vj1tgsl;3200;2700
276-9vj1u4da;2600;2100
276-9vj1u5ci;4400;3700
276-9vj2s1ea;2500;2050
276-9vj2s1el;3800;3100
276-9vj2slui;5200;4300
276-9vj3qrog;3700;3200
276-9vjlv07a;2500;2025
276-9vjlv16i;3900;3250
276-9vjmthoi;4350;3750
276-9vjti9ca;1100;850
276-9vjti9cl;1850;1250
276-a78g9o;750;550
276-a78ga2;1600;1300
276-a78gac;1800;1500
276-a78gad;3300;2800
276-a78h90;1750;1325
276-a78h9a;2900;2500
276-a78h9k;1400;1100
276-a78h9l;4400;3300
276-a78i8i;3999;3300
276-a78i8t;4499.5;4000
276-a78r1g;700;475
276-a78r24;1400;1100
276-a78r25;2400;2000
276-a78s1d;3800;0
276-a794qa;1000;725
276-a794qk;1400;1100
276-a794ql;1950;1500
276-a79cjo;600;375
276-a79cjp;700;475
276-a79cka;1200;900
276-a79ckk;1600;1300
276-a79ckl;3100;2600
276-a7a14i;3950;1500
276-af3r;700;500
276-af3s;1650;1200
276-af3t;1999;0
276-af46;650;425
276-af4g;550;325
276-af4h;700;500
276-af4o;500;275
276-af52;1100;850
276-af5c;1700;1400
276-af5d;2599.5;2300
276-an;537.5;325
277-9ro3;500;275
277-9snb;545;225
277-9tmj;1050;800
277-a3;325;200
277-a4;405;250
277-a5;875;700
277-a7dcm3;1100;910
277-a7ddlb;1200;900
277-a7dekj;1830;1500
277-a7dkfr;800;650
277-a7e903;1100;875
277-a7e904;1300;1100
277-a7e9vb;1150;900
277-a7e9vc;1189.5;975
277-a7e9vd;2200;1800
277-ab;275;150
277-af8r;1000;800
277-af8s;1139.5;935
277-af8t;1710;1370
277-af93;400;250
277-af9o;450;200
277-af9p;500;237.5
277-aguk8v;1725;1400
277-an;430;250
277-ao23;400;200
277-ao24;500;275
277-ap1b;500;275
277-ap1c;450;150
277-ap1d;1150;950
277-b0;300;125
277-b1;400;175
278;201.5;180
278:1235-a7e9vd;1;0
278:527-a7e9vd;1;0
278-9ro3;375;200
278-9snb;400;237.5
278-9tmj;1100;800
278-a3;350;240
278-a4;499.5;375
278-a5;1450;1175
278-a7dcm3;750;525
278-a7ddlb;950;600
278-a7dekj;2000;1600
278-a7e903;1000;700
